user_id,employee_name,email,role,functional_unit,department,team,start_date,end_date
TEF3555,Thomas Edward Ferguson,Thomas.Edward.Ferguson@dtaa.com,Mathematician,3 - ResearchAndEngineering_Government_Domestic,2 - Research,6 - Lab,2009-12-01,2011-06-01
GEH0420,Gillian Eliana Hill,Gillian.Eliana.Hill@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,1 - RegionalFieldService,2009-12-01,2011-06-01
VCV2521,Vivien Carly Vaughan,Vivien.Carly.Vaughan@dtaa.com,ComputerScientist,2 - ResearchAndEngineering_Commercial,4 - Engineering,20 - SystemsEngineering,2009-12-01,2011-06-01
LJR0253,Lisandra Jane Reid,Lisandra.Jane.Reid@dtaa.com,TechnicalWriter,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,1 - Publications,2009-12-01,2011-06-01
RPH2326,Robert Peter Hull,Robert.Peter.Hull@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,2009-12-01,2011-06-01
FJO1828,Fitzgerald Justin Oliver,Fitzgerald.Justin.Oliver@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,12 - MechanicalEngineering,2009-12-01,2011-06-01
JIG1936,Janna Ima Gibbs,Janna.Ima.Gibbs@dtaa.com,WebDeveloper,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,9 - WebSoftware,2009-12-01,2011-06-01
OAS0991,Odette Aileen Slater,Odette.Aileen.Slater@dtaa.com,Manager,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,5 - DesktopSoftware,2009-12-01,2011-06-01
CRT2273,Caleb Rooney Thomas,Caleb.Rooney.Thomas@dtaa.com,Salesman,8 - SalesAndMarketing_Commercial,2 - Sales,3 - RegionalSales,2009-12-01,2011-06-01
KGR2815,Karen Germane Rosa,Karen.Germane.Rosa@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,8 - AssemblyDept,2009-12-01,2011-06-01
ACH1910,Aurora Celeste Hogan,Aurora.Celeste.Hogan@dtaa.com,Mathematician,3 - ResearchAndEngineering_Government_Domestic,2 - Research,3 - Lab,2009-12-01,2011-06-01
WDS2197,Whoopi Daryl Stevens,Whoopi.Daryl.Stevens@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,2009-12-01,2011-06-01
TJM0328,Tobias James Meadows,Tobias.James.Meadows@dtaa.com,MechanicalEngineer,6 - Manufacturing_Government,2 - ManufacturingEngineering,,2009-12-01,2011-06-01
JJS2973,Jessamine Jena Stuart,Jessamine.Jena.Stuart@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,4 - RegionalFieldService,2009-12-01,2011-06-01
UDW0487,Ulla Daryl Willis,Ulla.Daryl.Willis@dtaa.com,SoftwareQualityEngineer,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,1 - SQA,2009-12-01,2011-06-01
SHB2106,Sydnee Hyacinth Bullock,Sydnee.Hyacinth.Bullock@dtaa.com,MaterialsEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,14 - MaterialsEngineering,2009-12-01,2011-06-01
PCT1234,Phillip Cody Turner,Phillip.Cody.Turner@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,6 - EmbeddedSoftware,2009-12-01,2010-11-01
KAV2926,Kirby Aiko Vaughan,Kirby.Aiko.Vaughan@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,4 - RegionalFieldService,2009-12-01,2011-06-01
ADS0763,Alice Deborah Sawyer,Alice.Deborah.Sawyer@dtaa.com,WebDeveloper,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,4 - WebSoftware,2009-12-01,2011-06-01
SKG1731,Sade Kendall Guthrie,Sade.Kendall.Guthrie@dtaa.com,Supervisor,5 - Manufacturing_Commercial,3 - Assembly,5 - Stockroom,2009-12-01,2011-06-01
ISJ1479,Imelda Sheila Jimenez,Imelda.Sheila.Jimenez@dtaa.com,Technician,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,11 - TestAndEvalualtion,2009-12-01,2011-06-01
CAG2236,Charde Anika Gamble,Charde.Anika.Gamble@dtaa.com,ProductionLineWorker,6 - Manufacturing_Government,3 - Assembly,6 - AssemblyDept,2009-12-01,2011-01-01
YKW3832,Yvonne Kellie Walters,Yvonne.Kellie.Walters@dtaa.com,Manager,1 - Adminstration,5 - Security,12 - BuildingSecurity,2009-12-01,2011-06-01
AVC2328,Asher Victor Campbell,Asher.Victor.Campbell@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,2009-12-01,2011-06-01
CSP2186,Chelsea Scarlet Price,Chelsea.Scarlet.Price@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,2009-12-01,2011-06-01
DBG0477,Dominic Benjamin Gonzalez,Dominic.Benjamin.Gonzalez@dtaa.com,Physicist,2 - ResearchAndEngineering_Commercial,2 - Research,1 - Lab,2009-12-01,2011-06-01
HPR2023,Hasad Phillip Robbins,Hasad.Phillip.Robbins@dtaa.com,TestEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,16 - TestAndEvalualtion,2009-12-01,2010-05-01
HAR3571,Hilel Aladdin Rodriquez,Hilel.Aladdin.Rodriquez@dtaa.com,ComputerScientist,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,25 - SystemsEngineering,2009-12-01,2010-10-01
NJM0440,Nolan Jelani Merritt,Nolan.Jelani.Merritt@dtaa.com,PurchasingClerk,10 - PurchasingAndContracts,2 - Pricing,,2009-12-01,2011-06-01
IBW1779,Ivan Brock Wood,Ivan.Brock.Wood@dtaa.com,Mathematician,2 - ResearchAndEngineering_Commercial,2 - Research,3 - Lab,2009-12-01,2011-06-01
BVB1673,Brody Vernon Bonner,Brody.Vernon.Bonner@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,2 - RegionalSales,2009-12-01,2010-02-01
DDF2937,Daria Dahlia Francis,Daria.Dahlia.Francis@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,4 - RegionalSales,2009-12-01,2011-04-01
NDH3827,Nina Desiree Howard,Nina.Desiree.Howard@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,6 - RegionalFieldService,2009-12-01,2011-06-01
NLS1866,Nicolas Luke Sellers,Nicolas.Luke.Sellers@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,15 - SystemsEngineering,2009-12-01,2011-06-01
MKM0647,Medge Kirby Mooney,Medge.Kirby.Mooney@dtaa.com,TechnicalWriter,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,1 - Publications,2009-12-01,2011-06-01
DCR1531,Dylan Carter Rodriguez,Dylan.Carter.Rodriguez@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,2009-12-01,2011-06-01
BSB3083,Benjamin Sylvester Brown,Benjamin.Sylvester.Brown@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,22 - MechanicalEngineering,2009-12-01,2011-06-01
SLM1119,Stella Lila Mcintyre,Stella.Lila.Mcintyre@dtaa.com,WebDeveloper,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,7 - WebSoftware,2009-12-01,2011-06-01
KCO0269,Kim Constance Owens,Kim.Constance.Owens@dtaa.com,MaterialsEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,4 - MaterialsEngineering,2009-12-01,2011-06-01
HVS1143,Heidi Vanna Solis,Heidi.Vanna.Solis@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,8 - ElectricalEngineering,2009-12-01,2011-06-01
JRR0829,Julian Reed Rose,Julian.Reed.Rose@dtaa.com,MechanicalEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,6 - TestAndEvalualtion,2009-12-01,2010-12-01
BMF2337,Barclay Mason French,Barclay.Mason.French@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,3 - RegionalSales,2009-12-01,2011-06-01
JRK2707,Jackson Roth Klein,Jackson.Roth.Klein@dtaa.com,MechanicalEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,17 - MechanicalEngineering,2009-12-01,2011-06-01
CEC1352,Christine Elaine Christian,Christine.Elaine.Christian@dtaa.com,Scientist,4 - ResearchAndEngineering_Government_Foreign,2 - Research,2 - Lab,2009-12-01,2011-06-01
KDB0266,Kenyon Driscoll Bean,Kenyon.Driscoll.Bean@dtaa.com,ElectricalEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,3 - ElectricalEngineering,2009-12-01,2011-06-01
MKR2138,Madonna Kylee Rosales,Madonna.Kylee.Rosales@dtaa.com,TestEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,16 - TestAndEvalualtion,2009-12-01,2011-06-01
ALS3440,Aphrodite Lana Smith,Aphrodite.Lana.Smith@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,5 - RegionalSales,2009-12-01,2011-06-01
AZG2343,Amos Zane Gardner,Amos.Zane.Gardner@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,2009-12-01,2011-04-01
RJS0846,Russell Joseph Spears,Russell.Joseph.Spears@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,2009-12-01,2011-06-01
BRG3267,Bradley Robert Guthrie,Bradley.Robert.Guthrie@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,9 - Stockroom,2009-12-01,2011-06-01
QNW0977,Quinn Neil Walsh,Quinn.Neil.Walsh@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,1 - RegionalFieldService,2009-12-01,2011-06-01
CNT0946,Christen Nichole Todd,Christen.Nichole.Todd@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,2009-12-01,2011-06-01
DMR2518,Damon Melvin Reed,Damon.Melvin.Reed@dtaa.com,ComputerScientist,2 - ResearchAndEngineering_Commercial,4 - Engineering,20 - SystemsEngineering,2009-12-01,2011-06-01
DSB0245,Deborah Serina Bryan,Deborah.Serina.Bryan@dtaa.com,AdministrativeAssistant,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,,2009-12-01,2011-06-01
LBR1387,Lamar Brett Russell,Lamar.Brett.Russell@dtaa.com,ElectricalEngineer,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,6 - EmbeddedSoftware,2009-12-01,2011-06-01
CKB3645,Castor Keegan Best,Castor.Keegan.Best@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,12 - AssemblyDept,2009-12-01,2011-06-01
DHG0962,Dolan Hamish Gibson,Dolan.Hamish.Gibson@dtaa.com,Salesman,9 - SalesAndMarketing_Government,2 - Sales,1 - RegionalSales,2009-12-01,2011-06-01
HMR0098,Hedy Margaret Reynolds,Hedy.Margaret.Reynolds@dtaa.com,AdministrativeAssistant,2 - ResearchAndEngineering_Commercial,4 - Engineering,1 - Publications,2009-12-01,2011-06-01
TLW2668,Timon Leo Winters,Timon.Leo.Winters@dtaa.com,Scientist,4 - ResearchAndEngineering_Government_Foreign,2 - Research,4 - Lab,2009-12-01,2011-06-01
LLH3157,Lucius Lucas Huber,Lucius.Lucas.Huber@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,23 - ElectricalEngineering,2009-12-01,2011-06-01
WNC0874,William Nehru Carson,William.Nehru.Carson@dtaa.com,StockroomClerk,6 - Manufacturing_Government,3 - Assembly,1 - Stockroom,2009-12-01,2010-08-01
MNC0433,Maggie Nomlanga Christensen,Maggie.Nomlanga.Christensen@dtaa.com,AdministrativeAssistant,10 - PurchasingAndContracts,1 - Purchasing,,2009-12-01,2011-06-01
IWG0058,Igor Walter Gaines,Igor.Walter.Gaines@dtaa.com,ProjectManager,2 - ResearchAndEngineering_Commercial,1 - ProjectManagement,,2009-12-01,2011-06-01
LBM3284,Lucian Barrett Monroe,Lucian.Barrett.Monroe@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,10 - AssemblyDept,2009-12-01,2011-06-01
HZH0297,Hammett Zeus Hodge,Hammett.Zeus.Hodge@dtaa.com,Supervisor,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,2009-12-01,2011-06-01
UXC1495,Upton Xander Campbell,Upton.Xander.Campbell@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,3 - Stockroom,2009-12-01,2011-06-01
EHD1744,Edan Hector Dudley,Edan.Hector.Dudley@dtaa.com,SecurityGuard,1 - Adminstration,5 - Security,5 - BuildingSecurity,2009-12-01,2010-05-01
KMC2028,Kiona Maia Castaneda,Kiona.Maia.Castaneda@dtaa.com,Scientist,4 - ResearchAndEngineering_Government_Foreign,2 - Research,3 - Lab,2009-12-01,2011-06-01
HWV1621,Howard Wyatt Vasquez,Howard.Wyatt.Vasquez@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,2 - RegionalFieldService,2009-12-01,2011-04-01
EFC1153,Evelyn Fiona Cleveland,Evelyn.Fiona.Cleveland@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,8 - ElectricalEngineering,2009-12-01,2011-06-01
CGT3148,Christine Glenna Taylor,Christine.Glenna.Taylor@dtaa.com,MechanicalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,22 - MechanicalEngineering,2009-12-01,2011-06-01
JKC3349,Jescie Kristen Conley,Jescie.Kristen.Conley@dtaa.com,ProductionLineWorker,6 - Manufacturing_Government,3 - Assembly,10 - AssemblyDept,2009-12-01,2011-06-01
RJW1440,Raymond Jarrod Welch,Raymond.Jarrod.Welch@dtaa.com,MaterialsEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,9 - MaterialsEngineering,2009-12-01,2011-06-01
ELB0033,Emi Lynn Banks,Emi.Lynn.Banks@dtaa.com,AdministrativeAssistant,1 - Adminstration,5 - Security,,2009-12-01,2011-06-01
RLP3268,Risa Lacy Parker,Risa.Lacy.Parker@dtaa.com,StockroomClerk,5 - Manufacturing_Commercial,3 - Assembly,9 - Stockroom,2009-12-01,2011-06-01
WEC3721,Wade Edward Cannon,Wade.Edward.Cannon@dtaa.com,Salesman,8 - SalesAndMarketing_Commercial,2 - Sales,6 - RegionalSales,2009-12-01,2011-06-01
CRJ3070,Carissa Rhonda Joyce,Carissa.Rhonda.Joyce@dtaa.com,Mathematician,2 - ResearchAndEngineering_Commercial,2 - Research,5 - Lab,2009-12-01,2011-06-01
WRM0515,Wyatt Reed Morrow,Wyatt.Reed.Morrow@dtaa.com,WebDeveloper,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,4 - WebSoftware,2009-12-01,2011-06-01
ZNG3404,Zelenia Noelle Goodwin,Zelenia.Noelle.Goodwin@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,5 - RegionalFieldService,2009-12-01,2011-06-01
NKV1451,Neil Kevin Vang,Neil.Kevin.Vang@dtaa.com,SystemsEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,10 - SystemsEngineering,2009-12-01,2011-06-01
GSB0666,Guinevere Sonia Bowen,Guinevere.Sonia.Bowen@dtaa.com,MechanicalEngineer,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,2 - MechanicalEngineering,2009-12-01,2011-06-01
FCK3307,Felix Callum Kemp,Felix.Callum.Kemp@dtaa.com,StockroomClerk,6 - Manufacturing_Government,3 - Assembly,9 - Stockroom,2009-12-01,2011-06-01
RHD0787,Rashad Honorato Dixon,Rashad.Honorato.Dixon@dtaa.com,MechanicalEngineer,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,2 - MechanicalEngineering,2009-12-01,2011-06-01
MFL0355,Mari Faith Lester,Mari.Faith.Lester@dtaa.com,Manager,7 - Finance,1 - Accounting,,2009-12-01,2011-06-01
SMO0458,Shea Madeline Ochoa,Shea.Madeline.Ochoa@dtaa.com,ITAdmin,1 - Adminstration,5 - Security,2 - ElectronicSecurity,2009-12-01,2011-06-01
GMF1213,Grace MacKensie Fields,Grace.MacKensie.Fields@dtaa.com,Scientist,3 - ResearchAndEngineering_Government_Domestic,2 - Research,2 - Lab,2009-12-01,2011-06-01
JNR2260,Jonathan Neil Rosales,Jonathan.Neil.Rosales@dtaa.com,Salesman,8 - SalesAndMarketing_Commercial,2 - Sales,3 - RegionalSales,2009-12-01,2011-06-01
AAH0721,Aiko Aimee Hyde,Aiko.Aimee.Hyde@dtaa.com,Physicist,4 - ResearchAndEngineering_Government_Foreign,2 - Research,1 - Lab,2009-12-01,2011-06-01
ORB2880,Oleg Reece Barton,Oleg.Reece.Barton@dtaa.com,Salesman,8 - SalesAndMarketing_Commercial,2 - Sales,4 - RegionalSales,2009-12-01,2011-06-01
BXG3763,Bo Xerxes Garrett,Bo.Xerxes.Garrett@dtaa.com,Technician,8 - SalesAndMarketing_Commercial,3 - FieldService,6 - RegionalFieldService,2009-12-01,2011-06-01
BKF0427,Brady Kenyon Fuller,Brady.Kenyon.Fuller@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,1 - RegionalFieldService,2009-12-01,2011-06-01
CCW2381,Carter Charles Wells,Carter.Charles.Wells@dtaa.com,ChiefEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,20 - SystemsEngineering,2009-12-01,2011-06-01
CXB2183,Cruz Xander Burke,Cruz.Xander.Burke@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,6 - AssemblyDept,2009-12-01,2011-06-01
MDP0161,Michael Darius Perry,Michael.Darius.Perry@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,3 - EmbeddedSoftware,2009-12-01,2011-06-01
JNP1240,Jermaine Nathan Patton,Jermaine.Nathan.Patton@dtaa.com,ElectricalEngineer,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,6 - EmbeddedSoftware,2009-12-01,2010-06-01
ANM0564,Albert Nicolas Morales,Albert.Nicolas.Morales@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering_Commercial,4 - Engineering,5 - SystemsEngineering,2009-12-01,2011-06-01
MCS0512,McKenzie Carly Schultz,McKenzie.Carly.Schultz@dtaa.com,WebDeveloper,2 - ResearchAndEngineering_Commercial,3 - SoftwareManagement,4 - WebSoftware,2009-12-01,2011-06-01
DKD2409,Dominique Keiko Dawson,Dominique.Keiko.Dawson@dtaa.com,SecurityGuard,1 - Adminstration,5 - Security,7 - BuildingSecurity,2009-12-01,2010-11-01
SWR3808,Shannon Wendy Ruiz,Shannon.Wendy.Ruiz@dtaa.com,Technician,9 - SalesAndMarketing_Government,3 - FieldService,6 - RegionalFieldService,2009-12-01,2011-06-01
CWA2549,Chandler William Alvarez,Chandler.William.Alvarez@dtaa.com,Technician,2 - ResearchAndEngineering_Commercial,4 - Engineering,21 - TestAndEvalualtion,2009-12-01,2010-09-01
BDK0854,Bethany Dora Koch,Bethany.Dora.Koch@dtaa.com,ProductionLineWorker,5 - Manufacturing_Commercial,3 - Assembly,2 - AssemblyDept,2009-12-01,2011-06-01
BBC3733,Beatrice Brenna Conner,Beatrice.Brenna.Conner@dtaa.com,Salesman,8 - SalesAndMarketing_Commercial,2 - Sales,6 - RegionalSales,2009-12-01,2011-06-01
KHP1043,Kevin Hop Patel,Kevin.Hop.Patel@dtaa.com,SecurityGuard,1 - Adminstration,5 - Security,3 - BuildingSecurity,2009-12-01,2011-06-01
